/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/10/27/,confirmed and probable,Winnebago County,9845,9375,470,14045
2020/10/28/,confirmed and probable,Winnebago County,9994,9517,477,14045
2020/10/29/,confirmed and probable,Winnebago County,10158,9667,491,14045
2020/10/30/,confirmed and probable,Winnebago County,10292,9797,495,14045
2020/10/31/,confirmed and probable,Winnebago County,10404,9903,501,14045
2020/11/1/,confirmed and probable,Winnebago County,10489,9980,509,14045
2020/11/2/,confirmed and probable,Winnebago County,10777,10238,539,14045
2020/11/3/,confirmed and probable,Winnebago County,10988,10436,552,14045
2020/11/4/,confirmed and probable,Winnebago County,11202,10642,560,14045
2020/11/5/,confirmed and probable,Winnebago County,11407,10830,577,14045
2020/11/6/,confirmed and probable,Winnebago County,11549,10960,589,14045
2020/11/7/,confirmed and probable,Winnebago County,11704,11108,596,14045
2020/11/8/,confirmed and probable,Winnebago County,11782,11180,602,14045
2020/11/9/,confirmed and probable,Winnebago County,12247,11589,658,14045
2020/11/10/,confirmed and probable,Winnebago County,12467,11774,693,14045
2020/11/11/,confirmed and probable,Winnebago County,12638,11882,756,14045
2020/11/12/,confirmed and probable,Winnebago County,12835,12018,817,14045
2020/11/13/,confirmed and probable,Winnebago County,12989,12135,854,14045
2020/11/14/,confirmed and probable,Winnebago County,13047,12187,860,14045
2020/11/15/,confirmed and probable,Winnebago County,13087,12219,868,14045
2020/11/16/,confirmed and probable,Winnebago County,13249,12327,922,14045
2020/11/17/,confirmed and probable,Winnebago County,13378,12418,960,14045
2020/11/18/,confirmed and probable,Winnebago County,13512,12514,998,14045
2020/11/19/,confirmed and probable,Winnebago County,13652,12618,1034,14045
2020/11/20/,confirmed and probable,Winnebago County,13802,12698,1104,14045
2020/11/21/,confirmed and probable,Winnebago County,13846,12739,1107,14045
2020/11/22/,confirmed and probable,Winnebago County,13876,12761,1115,14045
2020/11/23/,confirmed and probable,Winnebago County,14011,12840,1171,14045
2020/11/24/,confirmed and probable,Winnebago County,14036,12853,1183,14045
2020/11/25/,confirmed and probable,Winnebago County,14045,12857,1188,14045
